---------------------------------------------------------------------------------------
 28/07/2015                                                   HOJA 001

  EMPRESA                       ENE FEB MAR ABR MAY JUN JUL AGO SEP OCT NOV DIC TOTAL
---------------------------------------------------------------------------------------
 ARCOR                     2011 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2012 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2013 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2014 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2015 004 000 000 000 000 000 000 000 000 000 000 000 004

  EMPRESA                       ENE FEB MAR ABR MAY JUN JUL AGO SEP OCT NOV DIC TOTAL
---------------------------------------------------------------------------------------
 TENARIS                   2011 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2012 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2013 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2014 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2015 013 000 000 000 000 000 000 000 000 000 000 000 013

  EMPRESA                       ENE FEB MAR ABR MAY JUN JUL AGO SEP OCT NOV DIC TOTAL
---------------------------------------------------------------------------------------
 HP                        2011 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2012 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2013 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2014 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2015 006 000 000 000 000 000 000 000 000 000 000 000 006

  EMPRESA                       ENE FEB MAR ABR MAY JUN JUL AGO SEP OCT NOV DIC TOTAL
---------------------------------------------------------------------------------------
 SONY                      2011 000 000 000 000 000 000 000 000 000 000 000 000 000
---------------------------------------------------------------------------------------
 28/07/2015                                                   HOJA 002

                           2012 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2013 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2014 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2015 012 000 000 000 000 000 000 000 000 000 000 000 012

  EMPRESA                       ENE FEB MAR ABR MAY JUN JUL AGO SEP OCT NOV DIC TOTAL
---------------------------------------------------------------------------------------
 PLUSPETROL                2011 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2012 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2013 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2014 000 000 000 000 000 000 000 000 000 000 000 000 000
                           2015 000 000 000 000 000 000 000 000 000 000 000 000 000

---------------------------------------------------------------------------------------
 TOTALES                        035 000 000 000 000 000 000 000 000 000 000 000 035
